call_id,speaker_id,is_appuser,is_customer,affiliation
577600125322276,6627885215581864328,1,0,COMPANY
577600125322276,3530898354195544158,0,1,NONCOMPANY
3748766267467513,9085196591562809943,0,1,NONCOMPANY
3748766267467513,3402863603667540302,1,0,COMPANY
7880013684854978,7537802275052518878,1,0,COMPANY
7880013684854978,1233175720702914387,0,1,NONCOMPANY
7971401166135528,2629201178049859797,1,0,COMPANY
7971401166135528,1854427428343997653,0,1,NONCOMPANY
8373102117463309,3050683897238846801,1,0,COMPANY
8373102117463309,5497152470227247521,0,1,NONCOMPANY
10508915194838349,1411282922539427482,0,1,NONCOMPANY
10508915194838349,5532967612406075582,1,0,COMPANY
12969323040806196,8011998687536594923,0,1,NONCOMPANY
12969323040806196,6093690234396853301,1,0,COMPANY
13352410420209504,5093974348825237081,1,0,COMPANY
13352410420209504,3801950637374717858,0,0,NONCOMPANY
16160484075572014,5169825246928411791,1,0,COMPANY
16160484075572014,5933666030326473366,0,1,NONCOMPANY
20102538327457950,7641217961703418808,0,1,NONCOMPANY
20102538327457950,4969277595667561690,1,0,COMPANY
21688138314532794,6916784920753947228,0,1,NONCOMPANY
21688138314532794,7816693853939689681,1,0,COMPANY
26451975533280799,3692528262879926000,1,0,COMPANY
26451975533280799,877888683118868024,0,1,NONCOMPANY
26932317748832777,2255400591791251602,0,1,NONCOMPANY
26932317748832777,7851076417796292374,1,0,COMPANY
39140994227593286,7859856362684309281,0,1,NONCOMPANY
39140994227593286,2968196927233423528,1,0,COMPANY
42600152752592562,1605339315486380383,1,0,COMPANY
42600152752592562,3393903525343899477,0,1,NONCOMPANY
55515792372418682,2487184932070657702,1,0,COMPANY
55515792372418682,2854997880533845322,0,1,NONCOMPANY
60483100724341089,3163556645342403454,0,1,NONCOMPANY
60483100724341089,6925704946626715529,1,0,COMPANY
60510240634058332,5933168267018262040,0,1,NONCOMPANY
60510240634058332,8817674848393707373,1,0,COMPANY
60554786323776524,8052854570221678099,1,0,COMPANY
60554786323776524,8019976089611703961,0,1,NONCOMPANY
62164791825193535,560695593742917337,0,1,NONCOMPANY
62164791825193535,5693562604258588812,1,0,COMPANY
65766221541036497,5793357926120972941,1,0,COMPANY
65766221541036497,461247156083010212,0,1,NONCOMPANY
67676470697948105,8942523751379301400,0,1,NONCOMPANY
67676470697948105,4964865915402190882,1,0,COMPANY
69464330295098229,2525626113453403548,0,1,NONCOMPANY
69464330295098229,6540164568479627372,1,0,COMPANY
70256441983507326,1171022728674123493,0,1,NONCOMPANY
70256441983507326,7346785451008775964,1,0,COMPANY
70830460428306461,2105883814976463724,1,0,COMPANY
70830460428306461,424836400122560674,0,1,NONCOMPANY
72007379297620503,9215934321021969906,1,0,COMPANY
72007379297620503,3035406664542605216,0,1,NONCOMPANY
72085626343310328,8438588136999436849,0,1,NONCOMPANY
72085626343310328,1928095801671046956,1,0,COMPANY
74054239704481528,8456714859839959697,0,1,NONCOMPANY
74054239704481528,1123240338757169857,1,0,COMPANY
76496781042370540,2683116521753103356,0,1,NONCOMPANY
76496781042370540,1140702124913589706,1,0,COMPANY
80068903835332093,8063566132333667809,1,0,COMPANY
80068903835332093,3719743782694639594,0,1,NONCOMPANY
81605649275046377,6966311411418067164,1,0,COMPANY
81605649275046377,8269430450357131133,0,1,NONCOMPANY
89662852443414339,8432661014891563598,0,1,NONCOMPANY
89662852443414339,5948238126750575845,1,0,COMPANY
90035860872453644,878612035905117135,1,0,COMPANY
90035860872453644,7001988858359915063,0,1,NONCOMPANY
90781501374639904,7372200950876237293,0,1,NONCOMPANY
90781501374639904,7180965280570911666,1,0,COMPANY
96852618149683433,2608647741720176156,0,1,NONCOMPANY
96852618149683433,1789503260057726710,1,0,COMPANY
97099298288672541,4006294928455601573,0,1,NONCOMPANY
97099298288672541,4087493549666687647,1,0,COMPANY
97759518352331655,4523682454028688531,1,0,COMPANY
97759518352331655,1677692792588536649,0,1,NONCOMPANY
103420162363037042,5835013585350115472,0,1,NONCOMPANY
103420162363037042,845864780878296453,1,0,COMPANY
105196492500969584,1242350080421314181,1,0,COMPANY
105196492500969584,1677273648967545075,0,1,NONCOMPANY
106120555139955909,7905543598576555356,1,0,COMPANY
106120555139955909,5092313527494856274,0,1,NONCOMPANY
107148137664616571,5666829749338666588,1,0,COMPANY
107148137664616571,7545676760417632390,0,1,NONCOMPANY
107160631436219984,3307938780613923034,1,0,COMPANY
107160631436219984,6826491099462972789,0,1,NONCOMPANY
111869447152075721,2136182413563833432,0,1,NONCOMPANY
111869447152075721,4622476629019260212,1,0,COMPANY
113872735409538419,129759580040387545,0,1,NONCOMPANY
113872735409538419,878606208140532926,1,0,COMPANY
